name,type,url,expertise_tags,skill_tags,geography,language,enabled,frequency,notes
"ReliefWeb Jobs — EiE Consultant","RSS Feed","https://reliefweb.int/jobs/rss.xml?search=%22education+in+emergencies%22+consultant","EiE","Curriculum Development;Teacher Professional Development;Evaluation","Global","English","yes","daily","Core EiE feed. ReliefWeb is the central aggregator for humanitarian consultancy roles."
"ReliefWeb Jobs — MHPSS & PSS","RSS Feed","https://reliefweb.int/jobs/rss.xml?search=MHPSS+OR+psychosocial+consultant","MHPSS;PSS","Research;Training;Facilitation","Global","English","yes","daily","Catches MHPSS/PSS roles across humanitarian agencies."
"ReliefWeb Jobs — Early Childhood","RSS Feed","https://reliefweb.int/jobs/rss.xml?search=%22early+childhood%22+consultant","ECD;ECE;ECDiE","Curriculum Development;Play-based Learning;Research","Global","English","yes","daily","ECD/ECE roles from UNICEF, Save the Children, IRC programming."
"ReliefWeb Jobs — MEL & Evaluation","RSS Feed","https://reliefweb.int/jobs/rss.xml?search=monitoring+evaluation+learning+consultant","EiE;ECD;ECE;MHPSS;SEL;TVET;Disability Inclusion;Gender","M&E;MEL;MEAL;Evaluation;Research","Global","English","yes","daily","High-volume feed (~20/poll in source radar). Strongest signal for MEL/MEAL specialists."
"ReliefWeb Jobs — Curriculum & Teacher Training","RSS Feed","https://reliefweb.int/jobs/rss.xml?search=curriculum+OR+%22teacher+training%22+consultant","EiE;TVET;ECE","Curriculum Development;Teacher Professional Development;Training","Global","English","yes","daily",""
"ReliefWeb Jobs — TVET & Youth","RSS Feed","https://reliefweb.int/jobs/rss.xml?search=TVET+OR+%22vocational+training%22+OR+%22youth+livelihoods%22","TVET","Curriculum Development;Training;Strategic Planning","Global","English","yes","daily",""
"ReliefWeb Jobs — Disability Inclusion","RSS Feed","https://reliefweb.int/jobs/rss.xml?search=%22disability+inclusion%22+OR+%22inclusive+education%22","Disability Inclusion","Research;Curriculum Development;Policy","Global","English","yes","daily",""
"ReliefWeb Jobs — Gender & Education","RSS Feed","https://reliefweb.int/jobs/rss.xml?search=gender+education+consultant","Gender","Research;Policy;Evaluation","Global","English","yes","daily",""
"ReliefWeb Jobs — SEL & Wellbeing","RSS Feed","https://reliefweb.int/jobs/rss.xml?search=%22social+emotional+learning%22+OR+SEL+OR+wellbeing+education","SEL;MHPSS","Curriculum Development;Research;Training","Global","English","yes","daily",""
"ReliefWeb Jobs — Refugee Education","RSS Feed","https://reliefweb.int/jobs/rss.xml?search=refugee+education+consultant","EiE","Curriculum Development;Strategic Planning;Evaluation","Global","English","yes","daily",""
"UNICEF Careers — Education","INGO Careers","https://jobs.unicef.org/en-us/search/?search-keyword=education+consultant","EiE;ECD;ECE;Gender;Disability Inclusion","Curriculum Development;M&E;MEL;Evaluation;Research;Training","Global","English;French;Spanish;Arabic","yes","weekly","UNICEF posts STC/consultancy roles here, not always on UNGM. No public RSS — set up a saved search with email alert."
"UNHCR — Consultant Roster & Vacancies","INGO Careers","https://www.unhcr.org/consultant-opportunities-at-unhcr.html","EiE;MHPSS;Gender","Curriculum Development;Evaluation;Research","Global","English","yes","weekly","Refugee education and protection consultancies. Register for the consultant roster."
"UNESCO Careers","INGO Careers","https://careers.unesco.org/","EiE;ECE;TVET;Gender","Research;Policy;Curriculum Development","Global","English;French","yes","weekly",""
"World Bank Group — STC/ETC Careers","INGO Careers","https://worldbankgroup.csod.com/ux/ats/careersite/1/home?c=worldbankgroup","EiE;ECE;TVET;Gender;Disability Inclusion","Research;M&E;MEL;Evaluation;Policy","Global","English","yes","weekly","Short-Term Consultant (STC) and Extended-Term Consultant (ETC) roles."
"GPE — Global Partnership for Education","Sector Network","https://www.globalpartnership.org/careers","EiE;ECE;Gender;Disability Inclusion","Policy;Evaluation;Research;Strategic Planning","Global","English;French","yes","weekly","GPE also publishes funding calls separately at globalpartnership.org/funding."
"ECW — Education Cannot Wait","Sector Network","https://www.educationcannotwait.org/our-investments","EiE","Policy;Evaluation;Strategic Planning","Global","English","yes","weekly","Humanitarian education fund. Funding calls + evaluation tenders."
"INEE — Jobs & Opportunities","Sector Network","https://inee.org/jobs","EiE;MHPSS;SEL","Curriculum Development;M&E;MEL;Research;Training","Global","English (multi)","yes","weekly","Inter-agency Network for Education in Emergencies. Central EiE community board. Also subscribe to the INEE listserv for ad-hoc calls."
"Save the Children — International Careers","INGO Careers","https://www.savethechildren.net/careers","EiE;ECD;ECE;SEL;MHPSS;Disability Inclusion","Curriculum Development;M&E;MEL;Evaluation;Research;Training","Global","English","yes","weekly",""
"Plan International — Careers","INGO Careers","https://jobs.plan-international.org/search/?q=education","EiE;Gender;ECE","Curriculum Development;Research;Evaluation","Global","English;French;Spanish","yes","weekly",""
"Norwegian Refugee Council (NRC) — Careers","INGO Careers","https://www.nrc.no/careers/","EiE;MHPSS","Curriculum Development;Evaluation;Strategic Planning","Global (refugee contexts)","English","yes","weekly",""
